current,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
590,1543425,Yogesh  Singh and Pradeep Kumar Bhatia and Omprakash  Sangwan,,,,Predicting Software Maintenance Using Fuzzy Model,1--6,,6,"average cyclomatic complexity (ACC), documentation quality (DQ), fuzzy logic, readability of source code (RSC), software maintainability, understandability of software (UOS)",10.1145/1543405.1543425,SIGSOFT Softw. Eng. Notes,9-Jul,34,4,,July,2009,0163-5948,,,,,,ACM,"New York, NY, USA"
591,2001826,Stefan  Mairhofer and Robert  Feldt and Richard  Torkar,,,,Search-based Software Testing and Test Data Generation for a Dynamic Programming Language,1859--1866,,8,"dynamic language, search-based software engineering, software testing",10.1145/2001576.2001826,,,,,,,2011,,Proceedings of the 13th Annual Conference on Genetic and Evolutionary Computation,GECCO '11,,978-1-4503-0557-0,"Dublin, Ireland",ACM,"New York, NY, USA"
592,2107539,Irit Askira Gelman,,,,"Biases in Multi-criteria, Satisficing Decisions Due to Data Errors",16:1--16:24,16,24,,10.1145/2107536.2107539,J. Data and Information Quality,12-Feb,2,4,,March,2012,1936-1955,,,,,,ACM,"New York, NY, USA"
593,1596502,Tom  Janssen and Rui  Abreu and Arjan J.C. van Gemund,,,,Zoltar: A Spectrum-based Fault Localization Tool,23--30,,8,"automatic error detection, runtime monitoring, spectrum-based fault localization, zoltar",10.1145/1596495.1596502,,,,,,,2009,,Proceedings of the 2009 ESEC/FSE Workshop on Software Integration and Evolution @ Runtime,SINTER '09,,978-1-60558-681-6,"Amsterdam, The Netherlands",ACM,"New York, NY, USA"
594,564110,Yan  Liu and Ian  Gorton and Anna  Liu and Ning  Jiang and Shiping  Chen,,,,Designing a Test Suite for Empirically-based Middleware Performance Prediction,123--130,,8,"COTS, component-based system, empirical results, middleware, performance modelling, prototype",,,,,,,,2002,,"Proceedings of the Fortieth International Conference on Tools Pacific: Objects for Internet, Mobile and Embedded Applications",CRPIT '02,,0-909925-88-7,"Sydney, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia"
595,2461013,Sardar Muhammad Sulaman and Kim  Weyns and Martin  H&#246;st,,,,A Review of Research on Risk Analysis Methods for IT Systems,86--96,,11,"IT systems, mapping study, risk analysis",10.1145/2460999.2461013,,,,,,,2013,,Proceedings of the 17th International Conference on Evaluation and Assessment in Software Engineering,EASE '13,,978-1-4503-1848-8,"Porto de Galinhas, Brazil",ACM,"New York, NY, USA"
596,1101947,Sara  Sprenkle and Emily  Gibson and Sreedevi  Sampath and Lori  Pollock,,,,Automated Replay and Failure Detection for Web Applications,253--262,,10,"replay, software testing, test oracles, web applications",10.1145/1101908.1101947,,,,,,,2005,,Proceedings of the 20th IEEE/ACM International Conference on Automated Software Engineering,ASE '05,,1-58113-993-4,"Long Beach, CA, USA",ACM,"New York, NY, USA"
597,2666053,Dragan  Ivanovi&#263; and Manuel  Carro and Manuel  Hermenegildo,,,,Exploring the Impact of Inaccuracy and Imprecision of QoS Assumptions on Proactive Constraint-based QoS Prediction for Service Orchestrations,29--35,,7,"constraints, experimental validation, prediction, quality of prediction, quality of service, service orchestration",,,,,,,,2012,,Proceedings of the 4th International Workshop on Principles of Engineering Service-Oriented Systems,PESOS '12,,978-1-4673-1755-9,"Zurich, Switzerland",IEEE Press,"Piscataway, NJ, USA"
598,1985437,Pamela  Bhattacharya and Iulian  Neamtiu,,,,"A Prolog-based Framework for Search, Integration and Empirical Analysis on Software Evolution Data",29--32,,4,"data integration, empirical studies, prolog, software evolution",10.1145/1985429.1985437,,,,,,,2011,,"Proceedings of the 3rd International Workshop on Search-Driven Development: Users, Infrastructure, Tools, and Evaluation",SUITE '11,,978-1-4503-0597-6,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
599,1138947,Cyrille  Artho and Armin  Biere,,,,Advanced Unit Testing: How to Scale Up a Unit Test Framework,92--98,,7,"system testing, test framework, unit testing",10.1145/1138929.1138947,,,,,,,2006,,Proceedings of the 2006 International Workshop on Automation of Software Test,AST '06,,1-59593-408-1,"Shanghai, China",ACM,"New York, NY, USA"
600,1159739,Adrian  Schr&#246;ter and Thomas  Zimmermann and Andreas  Zeller,,,,Predicting Component Failures at Design Time,18--27,,10,,10.1145/1159733.1159739,,,,,,,2006,,Proceedings of the 2006 ACM/IEEE International Symposium on Empirical Software Engineering,ISESE '06,,1-59593-218-6,"Rio de Janeiro, Brazil",ACM,"New York, NY, USA"
601,1868353,Thomas  Schulz and &#321;ukasz  Radli&#324;ski and Thomas  Gorges and Wolfgang  Rosenstiel,,,,Defect Cost Flow Model: A Bayesian Network for Predicting Defect Correction Effort,16:1--16:11,16,11,"Bayesian network, correction effort, decision support, defect flow, process modeling, software process",10.1145/1868328.1868353,,,,,,,2010,,Proceedings of the 6th International Conference on Predictive Models in Software Engineering,PROMISE '10,,978-1-4503-0404-7,"Timi&scedil;oara, Romania",ACM,"New York, NY, USA"
602,1094885,Yuehua  Lin and Jeff  Gray,,,,A Comprehensive Model Transformation Approach to Automated Model Construction and Evolution,104--105,,2,"debugging, model transformation, modeling, testing",10.1145/1094855.1094885,,,,,,,2005,,"Companion to the 20th Annual ACM SIGPLAN Conference on Object-oriented Programming, Systems, Languages, and Applications",OOPSLA '05,,1-59593-193-7,"San Diego, CA, USA",ACM,"New York, NY, USA"
603,1370740,Laura K. Dillon and R. E. K.  Stirewalt and Eileen  Kraemer and Shaohua  Xie and Scott D. Fleming,,,,Using Formal Models to Objectively Judge Quality of Multi-threaded Programs in Empirical Studies,33--38,,6,"finite state processes (fsp), labeled transition system analyzer (ltsa), quality assessment of code, synchronization analysis",10.1145/1370731.1370740,,,,,,,2008,,Proceedings of the 2008 International Workshop on Models in Software Engineering,MiSE '08,,978-1-60558-025-8,"Leipzig, Germany",ACM,"New York, NY, USA"
604,1270362,Yuangfang  Cai and Sunny  Huynh,,,,An Evolution Model for Software Modularity Assessment,3--,,,,10.1109/WOSQ.2007.2,,,,,,,2007,,Proceedings of the 5th International Workshop on Software Quality,WoSQ '07,,0-7695-2959-3,,IEEE Computer Society,"Washington, DC, USA"
605,1929511,Yan  Wang and Ver&#243;nica  Gaspes,,,,An Embedded Language for Programming Protocol Stacks in Embedded Systems,63--72,,10,"domain-specific language, embedded compilation, embedded network software",10.1145/1929501.1929511,,,,,,,2011,,Proceedings of the 20th ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,PEPM '11,,978-1-4503-0485-6,"Austin, Texas, USA",ACM,"New York, NY, USA"
606,2348697,Okan  Turkes and Sebnem  Baydere,,,,Towards Inherent Error-resilient Voice Encoding Schemes in Audio Sensor Networks,35--42,,8,"activity monitoring, audio sensor networks, error concealment, voice coding, voice quality assessment",10.1145/2348688.2348697,,,,,,,2012,,"Proceedings of the Seventh ACM International Workshop on Wireless Network Testbeds, Experimental Evaluation and Characterization",WiNTECH '12,,978-1-4503-1527-2,"Istanbul, Turkey",ACM,"New York, NY, USA"
607,1753199,Foutse  Khomh and Yann-Ga&#235;l  Gu&#233;h&#233;neuc,,,,DEQUALITE: Building Design-based Software Quality Models,2:1--2:7,2,7,"machine learning, models, patterns, quality",10.1145/1753196.1753199,,,,,,,2008,,Proceedings of the 15th Conference on Pattern Languages of Programs,PLoP '08,,978-1-60558-151-4,"Nashville, Tennessee, USA",ACM,"New York, NY, USA"
608,1987908,Jan  Friedrich and Klaus  Bergner,,,,"Formally Founded, Plan-based Enactment of Software Development Processes",199--203,,5,"controlling, enactment, formal model, project plans",10.1145/1987875.1987908,,,,,,,2011,,Proceedings of the 2011 International Conference on Software and Systems Process,ICSSP '11,,978-1-4503-0730-7,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
609,2318930,Kurt B. Ferreira and Kevin  Pedretti and Ron  Brightwell and Patrick G. Bridges and David  Fiala and Frank  Mueller,,,,Evaluating Operating System Vulnerability to Memory Errors,11:1--11:8,11,8,"DRAM failures, fault-tolerance, operating systems",10.1145/2318916.2318930,,,,,,,2012,,Proceedings of the 2Nd International Workshop on Runtime and Operating Systems for Supercomputers,ROSS '12,,978-1-4503-1460-2,"Venice, Italy",ACM,"New York, NY, USA"
610,1295096,Jaymie  Strecker and Atif M Memon,,,,Faults' Context Matters,112--115,,4,,10.1145/1295074.1295096,,,,,,,2007,,Fourth International Workshop on Software Quality Assurance: In Conjunction with the 6th ESEC/FSE Joint Meeting,SOQUA '07,,978-1-59593-724-7,"Dubrovnik, Croatia",ACM,"New York, NY, USA"
611,2465471,Manuel  Oriol and Thomas  Gamer and Thijmen  de Gooijer and Michael  Wahler and Ettore  Ferranti,,,,Fault-tolerant Fault Tolerance for Component-based Automation Systems,49--58,,10,"component-based systems, distributed systems, fault tolerance, modular automation architecture",10.1145/2465470.2465471,,,,,,,2013,,Proceedings of the 4th International ACM Sigsoft Symposium on Architecting Critical Systems,ISARCS '13,,978-1-4503-2123-5,"Vancouver, British Columbia, Canada",ACM,"New York, NY, USA"
612,1016617,M&#225;rcio Seiji Oyamada and Felipe  Zschornack and Fl&#225;vio Rech Wagner,,,,Accurate Software Performance Estimation Using Domain Classification and Neural Networks,175--180,,6,"embedded software, neural networks, performance estimation",10.1145/1016568.1016617,,,,,,,2004,,Proceedings of the 17th Symposium on Integrated Circuits and System Design,SBCCI '04,,1-58113-947-0,"Pernambuco, Brazil",ACM,"New York, NY, USA"
613,1640097,"Robert L. Bocchino,Jr. and Vikram S. Adve and Danny  Dig and Sarita V. Adve and Stephen  Heumann and Rakesh  Komuravelli and Jeffrey  Overbey and Patrick  Simmons and Hyojin  Sung and Mohsen  Vakilian",,,,A Type and Effect System for Deterministic Parallel Java,97--116,,20,"commutativity, determinism, deterministic parallelism, effect systems, effects",10.1145/1639949.1640097,SIGPLAN Not.,9-Oct,44,10,,October,2009,0362-1340,,,,,,ACM,"New York, NY, USA"
614,1370803,Jingzhou  Li and Guenther  Ruhe,,,,Multi-criteria Decision Analysis for Customization of Estimation by Analogy Method AQUA+,55--62,,8,"estimation by analogy, multi-criteria decision analysis, software effort estimation, software engineering decision support, technology customization",10.1145/1370788.1370803,,,,,,,2008,,Proceedings of the 4th International Workshop on Predictor Models in Software Engineering,PROMISE '08,,978-1-60558-036-4,"Leipzig, Germany",ACM,"New York, NY, USA"
615,1067616,Joana Matos Penha-Lopes,,,,Why Use an Open Source e-Voting System?,412--412,,1,"electronic voting, open source and proprietary e-voting software",10.1145/1067445.1067616,,,,,,,2005,,Proceedings of the 10th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '05,,1-59593-024-8,"Caparica, Portugal",ACM,"New York, NY, USA"
616,2664453,Jihun  Park and Miryung  Kim and Baishakhi  Ray and Doo-Hwan  Bae,,,,An Empirical Study of Supplementary Bug Fixes,40--49,,10,"bug fixes, empirical study, patches, software evolution",,,,,,,,2012,,Proceedings of the 9th IEEE Working Conference on Mining Software Repositories,MSR '12,,978-1-4673-1761-0,"Zurich, Switzerland",IEEE Press,"Piscataway, NJ, USA"
617,1094960,Edward R. Carroll,,,,Estimating Software Based on Use Case Points,257--265,,9,"CMM, RUP, capability maturity model, estimating, function point analysis, metric, parametric estimating, rational unified process, use case, use case point",10.1145/1094855.1094960,,,,,,,2005,,"Companion to the 20th Annual ACM SIGPLAN Conference on Object-oriented Programming, Systems, Languages, and Applications",OOPSLA '05,,1-59593-193-7,"San Diego, CA, USA",ACM,"New York, NY, USA"
618,1985848,Tianwei  Sheng and Neil  Vachharajani and Stephane  Eranian and Robert  Hundt and Wenguang  Chen and Weimin  Zheng,,,,RACEZ: A Lightweight and Non-invasive Race Detection Tool for Production Applications,401--410,,10,"data races, performance monitoring unit, probability analysis, sampling",10.1145/1985793.1985848,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
619,1449830,Matt M. Papi and Mahmood  Ali and Michael D. Ernst,,,,Compile-time Type-checking for Custom Type Qualifiers in Java,723--724,,2,"annotation, compiler, java, javac, nonnull, type qualifier, type system, verification",10.1145/1449814.1449830,,,,,,,2008,,Companion to the 23rd ACM SIGPLAN Conference on Object-oriented Programming Systems Languages and Applications,OOPSLA Companion '08,,978-1-60558-220-7,"Nashville, TN, USA",ACM,"New York, NY, USA"
620,1363865,Pedro  Santos-Neto and Rodolfo F. Resende and Clarindo  P&#225;dua,,,,An Evaluation of a Model-based Testing Method for Information Systems,770--776,,7,"model-based testing, software testing, test requirements, testing automation",10.1145/1363686.1363865,,,,,,,2008,,Proceedings of the 2008 ACM Symposium on Applied Computing,SAC '08,,978-1-59593-753-7,"Fortaleza, Ceara, Brazil",ACM,"New York, NY, USA"
621,2070342,Jay  Abraham and Jeff  Chapple and Cyril  Preve,,,,Improving Quality of Ada Software with Range Analysis,7--8,,2,"abstract interpretation, code verification, software quality assurance, static code analysis, variable range analysis",10.1145/2070336.2070342,Ada Lett.,11-Dec,31,3,,November,2011,1094-3641,,,,,,ACM,"New York, NY, USA"
622,2002305,Adam J. Dou and Vana  Kalogeraki and Dimitrios  Gunopulos and Taneli  Mielikainen and Ville  Tuulos,,,,Scheduling for Real-time Mobile MapReduce Systems,347--358,,12,"distributed systems, mapreduce, mobile systems, real-time",10.1145/2002259.2002305,,,,,,,2011,,Proceedings of the 5th ACM International Conference on Distributed Event-based System,DEBS '11,,978-1-4503-0423-8,"New York, New York, USA",ACM,"New York, NY, USA"
623,2667030,Indika  Meedeniya and Aldeida  Aleti and Iman  Avazpour and Ayman  Amin,,,,Robust ArcheOpterix: Architecture Optimization of Embedded Systems Under Uncertainty,23--29,,7,"architecture optimization, embedded systems, probabilistic quality prediction, robust optimization, uncertainty analysis",,,,,,,,2012,,Proceedings of the Second International Workshop on Software Engineering for Embedded Systems,SEES '12,,978-1-4673-1853-2,"Zurich, Switzerland",IEEE Press,"Piscataway, NJ, USA"
624,1870124,M. Anwar Hossain and Pradeep K. Atrey and Abdulmotaleb El Saddik,,,,Modeling and Assessing Quality of Information in Multisensor Multimedia Monitoring Systems,3:1--3:30,3,30,"Quality of information, event detection, multimedia monitoring systems, multimodal fusion",10.1145/1870121.1870124,ACM Trans. Multimedia Comput. Commun. Appl.,11-Jan,7,1,,February,2011,1551-6857,,,,,,ACM,"New York, NY, USA"
625,1071050,Ceryen  Tan and Kevin  Mills,,,,Performance Characterization of Decentralized Algorithms for Replica Selection in Distributed Object Systems,257--262,,6,"distributed object systems, replica selection",10.1145/1071021.1071050,,,,,,,2005,,Proceedings of the 5th International Workshop on Software and Performance,WOSP '05,,1-59593-087-6,"Palma, Illes Balears, Spain",ACM,"New York, NY, USA"
626,1181315,Paul  Sack and Brian E. Bliss and Zhiqiang  Ma and Paul  Petersen and Josep  Torrellas,,,,Accurate and Efficient Filtering for the Intel Thread Checker Race Detector,34--41,,8,data-race detection,10.1145/1181309.1181315,,,,,,,2006,,Proceedings of the 1st Workshop on Architectural and System Support for Improving Software Dependability,ASID '06,,1-59593-576-2,"San Jose, California",ACM,"New York, NY, USA"
627,2002292,Gabriela  Jacques-Silva and Bugra  Gedik and Henrique  Andrade and Kun-Lung  Wu and Ravishankar K. Iyer,,,,Fault Injection-based Assessment of Partial Fault Tolerance in Stream Processing Applications,231--242,,12,"evaluation metrics, fault injection, fault tolerance, stream processing",10.1145/2002259.2002292,,,,,,,2011,,Proceedings of the 5th ACM International Conference on Distributed Event-based System,DEBS '11,,978-1-4503-0423-8,"New York, New York, USA",ACM,"New York, NY, USA"
628,2457446,Roel  Meeuws and S. Arash  Ostadzadeh and Carlo  Galuzzi and Vlad Mihai  Sima and Razvan  Nane and Koen  Bertels,,,,Quipu: A Statistical Model for Predicting Hardware Resources,3:1--3:25,3,25,"Reconfigurable architectures, estimation, modeling, software complexity metrics, statistics, system analysis and design",10.1145/2457443.2457446,ACM Trans. Reconfigurable Technol. Syst.,13-May,6,1,,May,2013,1936-7406,,,,,,ACM,"New York, NY, USA"
629,1630079,Valeria  Bertacco,,,,Debugging Strategies for Mere Mortals,635--638,,4,"design verification, error correction, error diagnosis, validation",10.1145/1629911.1630079,,,,,,,2009,,Proceedings of the 46th Annual Design Automation Conference,DAC '09,,978-1-60558-497-3,"San Francisco, California",ACM,"New York, NY, USA"
630,2451151,Eric  Schulte and Jonathan  DiLorenzo and Westley  Weimer and Stephanie  Forrest,,,,Automated Repair of Binary and Assembly Programs for Cooperating Embedded Devices,317--328,,12,"assembly code, automated program repair, bytecode, evolutionary computation, fault localization, legacy software",10.1145/2499368.2451151,SIGPLAN Not.,13-Apr,48,4,,March,2013,0362-1340,,,,,,ACM,"New York, NY, USA"
631,1316553,Thi Quynh Bui and Oum-El-Kheir  Aktouf,,,,Diagnosis Service for Embedded Software Component Based Systems,,3,,"dependability, diagnosis, embedded systems, fault tolerance",10.1145/1316550.1316553,,,,,,,2007,,Proceedings of the 2007 Workshop on Engineering Fault Tolerant Systems,EFTS '07,,978-1-59593-725-4,"Dubrovnik, Croatia",ACM,"New York, NY, USA"
632,1577195,Stefan  Ratschan,,,,Symbolic-numeric Problems in the Automatic Analysis and Verification of Cyber-physical Systems,7--8,,2,"cyber-physical systems, hybrid systems",10.1145/1577190.1577195,,,,,,,2009,,Proceedings of the 2009 Conference on Symbolic Numeric Computation,SNC '09,,978-1-60558-664-9,"Kyoto, Japan",ACM,"New York, NY, USA"
633,1496659,Christian  Murphy,,,,Using Runtime Testing to Detect Defects in Applications Without Test Oracles,21--24,,4,"metamorphic testing, perpetual testing, software testing",10.1145/1496653.1496659,,,,,,,2008,,Proceedings of the 2008 Foundations of Software Engineering Doctoral Symposium,FSEDS '08,,978-1-60558-378-5,"Atlanta, Georgia",ACM,"New York, NY, USA"
634,1342216,"Sunghun  Kim and Thomas  Zimmermann and E. James Whitehead,Jr. and Andreas  Zeller",,,,Predicting Faults from Cached History,15--16,,2,"bug, cache, fault, locality, prediction",10.1145/1342211.1342216,,,,,,,2008,,Proceedings of the 1st India Software Engineering Conference,ISEC '08,,978-1-59593-917-3,"Hyderabad, India",ACM,"New York, NY, USA"
635,2442579,Judith Bayard Cushing and Evan  Hayduk and Jerilyn  Walley and Kirsten  Winters and Denise  Lach and Michael  Bailey and Christoph  Thomas and Susan G. Stafford,,,,"Which Visualizations Work, for What Purpose, for Whom?: Evaluating Visualizations of Terrestrial and Aquatic Systems",3:1--3:5,3,5,"ecology informatics, scientific visualization, software evaluation, visualization development lifecycle",10.1145/2442576.2442579,,,,,,,2012,,Proceedings of the 2012 BELIV Workshop: Beyond Time and Errors - Novel Evaluation Methods for Visualization,BELIV '12,,978-1-4503-1791-7,"Seattle, Washington, USA",ACM,"New York, NY, USA"
636,1449848,Matt M. Papi and Mahmood  Ali and Michael D. Ernst,,,,Compile-time Type-checking for Custom Type Qualifiers in Java,759--760,,2,"annotation, compiler, java, javac, nonnull, type qualifier, type system, verification",10.1145/1449814.1449848,,,,,,,2008,,Companion to the 23rd ACM SIGPLAN Conference on Object-oriented Programming Systems Languages and Applications,OOPSLA Companion '08,,978-1-60558-220-7,"Nashville, TN, USA",ACM,"New York, NY, USA"
637,2507959,Majid  Nabi and Marc M.C.W. Geilen and Twan A.A. Basten,,,,An Empirical Study of Link Quality Estimation Techniques for Disconnection Detection in WBANs,219--228,,10,"dis- connection detection, link quality estimation, quality-of-service, wireless body area network",10.1145/2507924.2507959,,,,,,,2013,,"Proceedings of the 16th ACM International Conference on Modeling, Analysis &#38; Simulation of Wireless and Mobile Systems",MSWiM '13,,978-1-4503-2353-6,"Barcelona, Spain",ACM,"New York, NY, USA"
638,2254659,Sean  Kandel and Ravi  Parikh and Andreas  Paepcke and Joseph M. Hellerstein and Jeffrey  Heer,,,,Profiler: Integrated Statistical Analysis and Visualization for Data Quality Assessment,547--554,,8,"anomaly detection, data analysis, data quality, visualization",10.1145/2254556.2254659,,,,,,,2012,,Proceedings of the International Working Conference on Advanced Visual Interfaces,AVI '12,,978-1-4503-1287-5,"Capri Island, Italy",ACM,"New York, NY, USA"
639,1982493,Daniel  Woodraska and Michael  Sanford and Dianxiang  Xu,,,,Security Mutation Testing of the FileZilla FTP Server,1425--1430,,6,"FTP, mutation analysis, security testing, software testing",10.1145/1982185.1982493,,,,,,,2011,,Proceedings of the 2011 ACM Symposium on Applied Computing,SAC '11,,978-1-4503-0113-8,"TaiChung, Taiwan",ACM,"New York, NY, USA"
640,1185446,Omneya  Issa and Jean-Charles  Gregoire,,,,A Novel Approach of Service Management in Wireless Mobile Networks,,56,,,10.1145/1185373.1185446,,,,,,,2006,,Proceedings of the 3rd International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks,QShine '06,,1-59593-537-1,"Waterloo, Ontario, Canada",ACM,"New York, NY, USA"
641,1414034,Tore  Dyb&#229; and Torgeir  Dings&#248;yr,,,,Strength of Evidence in Systematic Reviews in Software Engineering,178--187,,10,"quality assessment, strength of evidence, systematic review",10.1145/1414004.1414034,,,,,,,2008,,Proceedings of the Second ACM-IEEE International Symposium on Empirical Software Engineering and Measurement,ESEM '08,,978-1-59593-971-5,"Kaiserslautern, Germany",ACM,"New York, NY, USA"
642,1356997,Kazutoshi  Kobayashi and Hidetoshi  Onodera,,,,"Best Ways to Use Billions of Devices on a Chip: Error Predictive, Defect Tolerant and Error Recovery Designs",811--812,,2,,,,,,,,,2008,,Proceedings of the 2008 Asia and South Pacific Design Automation Conference,ASP-DAC '08,,978-1-4244-1922-7,"Seoul, Korea",IEEE Computer Society Press,"Los Alamitos, CA, USA"
643,1985894,Paul Luo Li and Ryan  Kivett and Zhiyuan  Zhan and Sung-eok  Jeon and Nachiappan  Nagappan and Brendan  Murphy and Andrew J. Ko,,,,Characterizing the Differences Between Pre- and Post- Release Versions of Software,716--725,,10,"beta, customer experience improvement program, reliability analysis component (rac), usage, windows, windows error reporting (wer)",10.1145/1985793.1985894,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
644,1017784,DeJiu  Chen and Martin  T&#246;rngren,,,,A Metrics System for Quantifying Operational Coupling in Embedded Computer Control Systems,184--192,,9,"coupling measure, modularization and components, system functions",10.1145/1017753.1017784,,,,,,,2004,,Proceedings of the 4th ACM International Conference on Embedded Software,EMSOFT '04,,1-58113-860-1,"Pisa, Italy",ACM,"New York, NY, USA"
645,1075416,David  Garlan and Vahe  Poladian and Bradley  Schmerl and Jo&#227;o Pedro Sousa,,,,Task-based Self-adaptation,54--57,,4,"self-adaptation, self-management, software architecture, task-aware computing, utility-based optimization",10.1145/1075405.1075416,,,,,,,2004,,Proceedings of the 1st ACM SIGSOFT Workshop on Self-managed Systems,WOSS '04,,1-58113-989-6,"Newport Beach, California",ACM,"New York, NY, USA"
646,1057748,Abhishek  Mitra and Marcello  Lajolo and Kanishka  Lahiri,,,,SOFTENIT: A Methodology for Boosting the Software Content of System-on-chip Designs,361--366,,6,"HW/SW codesign, RTOS, embedded systems, partitioning",10.1145/1057661.1057748,,,,,,,2005,,Proceedings of the 15th ACM Great Lakes Symposium on VLSI,GLSVLSI '05,,1-59593-057-4,"Chicago, Illinois, USA",ACM,"New York, NY, USA"
647,1852789,Barbara  Kitchenham and Dag I. K. Sj&#248;berg and O. Pearl Brereton and David  Budgen and Tore  Dyb&#229; and Martin  H&#246;st and Dietmar  Pfahl and Per  Runeson,,,,Can We Evaluate the Quality of Software Engineering Experiments?,2:1--2:8,2,8,quality evaluation,10.1145/1852786.1852789,,,,,,,2010,,Proceedings of the 2010 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement,ESEM '10,,978-1-4503-0039-1,"Bolzano-Bozen, Italy",ACM,"New York, NY, USA"
648,2076790,Dhilung  Kirat and Giovanni  Vigna and Christopher  Kruegel,,,,BareBox: Efficient Malware Analysis on Bare-metal,403--412,,10,"VM-aware, bare metal, dynamic malware analysis, system restore",10.1145/2076732.2076790,,,,,,,2011,,Proceedings of the 27th Annual Computer Security Applications Conference,ACSAC '11,,978-1-4503-0672-0,"Orlando, Florida, USA",ACM,"New York, NY, USA"
649,2413044,Jeetendra  Pande and Christopher J. Garcia and Durgesh  Pant,,,,Optimal Component Selection for Component Based Software Development Using Pliability Metric,1--6,,6,"component based software development (CBSD), component based system (CBS), componentoff-the-shelf (COTS), pliability",10.1145/2413038.2413044,SIGSOFT Softw. Eng. Notes,13-Jan,38,1,,January,2013,0163-5948,,,,,,ACM,"New York, NY, USA"
650,1945034,Shimin  Chen and Phillip B. Gibbons and Michael  Kozuch and Todd C. Mowry,,,,Log-based Architectures: Using Multicore to Help Software Behave Correctly,84--91,,8,"lifeguards, log-based architectures, parallel monitoring, program monitoring, software bugs",10.1145/1945023.1945034,SIGOPS Oper. Syst. Rev.,11-Jan,45,1,,February,2011,0163-5980,,,,,,ACM,"New York, NY, USA"
651,367938,Constantinos A. Constantinides and Tzilla  Elrad,,,,Towards a Two-dimensional Separation of Concerns (Poster Session),63--64,,2,,10.1145/367845.367938,,,,,,,2000,,"Addendum to the 2000 Proceedings of the Conference on Object-oriented Programming, Systems, Languages, and Applications (Addendum)",OOPSLA '00,,1-58113-307-3,"Minneapolis, Minnesota, USA",ACM,"New York, NY, USA"
652,2047872,William R. Otte and Aniruddha  Gokhale and Douglas C. Schmidt and Johnny  Willemsen,,,,Infrastructure for Component-based DDS Application Development,53--62,,10,"component-based real-time systems, predictable deployment",10.1145/2047862.2047872,,,,,,,2011,,Proceedings of the 10th ACM International Conference on Generative Programming and Component Engineering,GPCE '11,,978-1-4503-0689-8,"Portland, Oregon, USA",ACM,"New York, NY, USA"
653,571689,Jacky  Estublier and David  Leblang and Geoff  Clemm and Reidar  Conradi and Walter  Tichy and Andr&#233;  van der Hoek and Darcy  Wiborg-Weber,,,,Impact of the Research Community on the Field of Software Configuration Management: Summary of an Impact Project Report,31--39,,9,"industrial impact, software configuration management, software engineering, software quality",10.1145/571681.571689,SIGSOFT Softw. Eng. Notes,2-Sep,27,5,,September,2002,0163-5948,,,,,,ACM,"New York, NY, USA"
654,2063824,Steven  Grijzenhout and Maarten  Marx,,,,The Quality of the XML Web,1719--1724,,6,"XML, XML web, data quality, schemas",10.1145/2063576.2063824,,,,,,,2011,,Proceedings of the 20th ACM International Conference on Information and Knowledge Management,CIKM '11,,978-1-4503-0717-8,"Glasgow, Scotland, UK",ACM,"New York, NY, USA"
655,2487010,Tingting  Yu,,,,An Observable and Controllable Testing Framework for Modern Systems,1377--1380,,4,,,,,,,,,2013,,Proceedings of the 2013 International Conference on Software Engineering,ICSE '13,,978-1-4673-3076-3,"San Francisco, CA, USA",IEEE Press,"Piscataway, NJ, USA"
656,1596484,Danilo  Ardagna and Raffaela  Mirandola and Marco  Trubian and Li  Zhang,,,,Run-time Resource Management in SOA Virtualized Environments,39--46,,8,"empirical studies and experiments, managing extra-functional properties, resource consumption, run-time qos management, soa and virtualized systems",10.1145/1596473.1596484,,,,,,,2009,,Proceedings of the 1st International Workshop on Quality of Service-oriented Software Systems,QUASOSS '09,,978-1-60558-709-7,"Amsterdam, The Netherlands",ACM,"New York, NY, USA"
657,1029930,Paul Luo Li and Mary  Shaw and Jim  Herbsleb and Bonnie  Ray and P.  Santhanam,,,,Empirical Evaluation of Defect Projection Models for Widely-deployed Production Software Systems,263--272,,10,"COTS, defect modeling, empirical research, maintenance resource planning, open source software, software insurance",10.1145/1041685.1029930,SIGSOFT Softw. Eng. Notes,4-Nov,29,6,,October,2004,0163-5948,,,,,,ACM,"New York, NY, USA"
